"","endstate","startstate","NgramSize"
"�","hours","�",2
"�","i","�",2
"–","the","–",2
"—","and","—",2
"“i","don’t","“i",2
"a","few","a",2
"“","i","“",2
"“all","that","“all",2
"“if","you","“if",2
"“in","the","“in",2
"“it","was","“it",2
"“it’s","not","“it’s",2
"“jersey","shore”","“jersey",2
"“just","because","“just",2
"“no","matter","“no",2
"“some","people","“some",2
"“the","only","“the",2
"“there","is","“there",2
"“there’s","nothing","“there’s",2
"“we","are","“we",2
"“when","you","“when",2
"“you","can","“you",2
"aaron","rodgers","aaron",2
"abandon","the","abandon",2
"abandoned","the","abandoned",2
"abbey","and","abbey",2
"abc","news","abc",2
"ability","to","ability",2
"able","to","able",2
"abnormalities","in","abnormalities",2
"aboard","the","aboard",2
"abortion","and","abortion",2
"about","the","about",2
"above","the","above",2
"abraham","lincoln","abraham",2
"abs","and","abs",2
"absence","of","absence",2
"absent","from","absent",2
"absolute","best","absolute",2
"absolutely","no","absolutely",2
"absurd","i","absurd",2
"abuse","and","abuse",2
"abusing","the","abusing",2
"ac","milan","ac",2
"academic","work","academic",2
"academy","of","academy",2
"accent","my","accent",2
"accept","the","accept",2
"acceptable","to","acceptable",2
"acceptance","of","acceptance",2
"accepted","the","accepted",2
"accepting","the","accepting",2
"accepts","the","accepts",2
"access","to","access",2
"accessories","and","accessories",2
"accident","and","accident",2
"accidents","in","accidents",2
"accommodate","the","accommodate",2
"accommodations","are","accommodations",2
"accomplish","in","accomplish",2
"accomplished","and","accomplished",2
"accomplishment","of","accomplishment",2
"according","to","according",2
"account","for","account",2
"accountability","and","accountability",2
"accountable","for","accountable",2
"accounting","for","accounting",2
"accounts","of","accounts",2
"accumulation","of","accumulation",2
"accurate","but","accurate",2
"accusations","of","accusations",2
"accused","of","accused",2
"accustomed","to","accustomed",2
"ace","of","ace",2
"aches","and","aches",2
"achieve","the","achieve",2
"achievement","of","achievement",2
"achievements","in","achievements",2
"achieving","a","achieving",2
"achilles","heel","achilles",2
"acid","and","acid",2
"acknowledge","that","acknowledge",2
"acoustic","guitar","acoustic",2
"acquainted","with","acquainted",2
"acquire","the","acquire",2
"acquired","by","acquired",2
"acquisition","of","acquisition",2
"acres","in","acres",2
"across","the","across",2
"act","of","act",2
"acted","like","acted",2
"acting","like","acting",2
"action","and","action",2
"actions","of","actions",2
"activate","the","activate",2
"active","in","active",2
"activism","in","activism",2
"activities","and","activities",2
"activity","and","activity",2
"actor","in","actor",2
"actors","and","actors",2
"actress","and","actress",2
"acts","of","acts",2
"actual","play","actual",2
"actually","a","actually",2
"ad","for","ad",2
"adam","and","adam",2
"adapt","to","adapt",2
"adapted","from","adapted",2
"adapting","to","adapting",2
"add","the","add",2
"added","a","added",2
"addict","and","addict",2
"addicted","to","addicted",2
"addiction","and","addiction",2
"adding","that","adding",2
"addition","to","addition",2
"additions","to","additions",2
"address","the","address",2
"addressed","to","addressed",2
"adds","to","adds",2
"adjacent","to","adjacent",2
"adjust","the","adjust",2
"adjusting","to","adjusting",2
"adjusts","to","adjusts",2
"administration","has","administration",2
"administrative","assistant","administrative",2
"administrators","to","administrators",2
"admire","the","admire",2
"admission","to","admission",2
"admit","that","admit",2
"admits","that","admits",2
"admitted","to","admitted",2
"admitting","that","admitting",2
"adopted","by","adopted",2
"adopting","a","adopting",2
"adoption","of","adoption",2
"ads","in","ads",2
"adult","and","adult",2
"adults","and","adults",2
"advance","to","advance",2
"advanced","to","advanced",2
"advances","in","advances",2
"advantage","of","advantage",2
"advantages","of","advantages",2
"advent","of","advent",2
"adventure","and","adventure",2
"adventures","of","adventures",2
"adversely","affected","adversely",2
"advertisers","on","advertisers",2
"advertising","and","advertising",2
"advice","for","advice",2
"advised","me","advised",2
"advisory","board","advisory",2
"advocacy","group","advocacy",2
"advocate","for","advocate",2
"advocated","by","advocated",2
"advocates","for","advocates",2
"advocating","for","advocating",2
"aerial","photo","aerial",2
"aesthetically","pleasing","aesthetically",2
"afc","south","afc",2
"affair","with","affair",2
"affect","the","affect",2
"affected","by","affected",2
"affecting","the","affecting",2
"affection","and","affection",2
"affects","the","affects",2
"affiliated","with","affiliated",2
"affiliation","with","affiliation",2
"affinity","for","affinity",2
"afford","to","afford",2
"affordable","housing","affordable",2
"afghan","war","afghan",2
"afghanistan","the","afghanistan",2
"afloat","but","afloat",2
"afraid","of","afraid",2
"africa","and","africa",2
"african","american","african",2
"after","the","after",2
"aftermath","of","aftermath",2
"afternoon","and","afternoon",2
"again","and","again",2
"against","the","against",2
"age","of","age",2
"agencies","and","agencies",2
"agency","and","agency",2
"agenda","for","agenda",2
"agent","and","agent",2
"agents","in","agents",2
"ages","and","ages",2
"aggravated","assault","aggravated",2
"aggressive","in","aggressive",2
"aging","and","aging",2
"ago","i","ago",2
"agree","with","agree",2
"agreed","to","agreed",2
"agreeing","to","agreeing",2
"agreement","with","agreement",2
"agrees","that","agrees",2
"ah","i","ah",2
"ahead","of","ahead",2
"ahold","of","ahold",2
"aid","to","aid",2
"aids","and","aids",2
"aim","to","aim",2
"aimed","at","aimed",2
"aiming","for","aiming",2
"aims","to","aims",2
"aint","it","aint",2
"air","and","air",2
"aired","a","aired",2
"airing","on","airing",2
"airlines","are","airlines",2
"airport","and","airport",2
"aka","the","aka",2
"akin","to","akin",2
"al","qaeda","al",2
"alabama","and","alabama",2
"alarm","clock","alarm",2
"alas","i","alas",2
"alaska","to","alaska",2
"albeit","a","albeit",2
"albert","pujols","albert",2
"album","is","album",2
"albums","in","albums",2
"alcohol","and","alcohol",2
"alcoholic","beverages","alcoholic",2
"ale","and","ale",2
"alert","the","alert",2
"alex","is","alex",2
"alfonzo","dennard","alfonzo",2
"alice","in","alice",2
"alicia","keys","alicia",2
"alienated","and","alienated",2
"aliens","and","aliens",2
"aligned","with","aligned",2
"alike","the","alike",2
"alive","and","alive",2
"all","the","all",2
"allegation","that","allegation",2
"allen","of","allen",2
"allergic","to","allergic",2
"alley","and","alley",2
"allman","brothers","allman",2
"allow","the","allow",2
"allowed","to","allowed",2
"allowing","them","allowing",2
"allows","you","allows",2
"alltime","favorite","alltime",2
"alma","mater","alma",2
"almost","a","almost",2
"alone","in","alone",2
"along","with","along",2
"already","been","already",2
"also","a","also",2
"alter","the","alter",2
"alternative","to","alternative",2
"alternatives","to","alternatives",2
"although","i","although",2
"aluminum","foil","aluminum",2
"alumni","association","alumni",2
"always","been","always",2
"alzheimer’s","disease","alzheimer’s",2
"am","i","am",2
"amanda","and","amanda",2
"amazed","at","amazed",2
"amazes","me","amazes",2
"amazing","and","amazing",2
"amazon","and","amazon",2
"ambassador","to","ambassador",2
"ambition","is","ambition",2
"amend","the","amend",2
"amendment","to","amendment",2
