"","startstate","endstate","NgramSize","X"
"� inches �","� inches �","inches",4,"� inches �"
"� psm �","� psm �","psf",4,"� psm �"
"‘where the wild","‘where the wild","things",4,"‘where the wild"
"“attacked” with that","“attacked” with that","state",4,"“attacked” with that"
"“life is like","“life is like","riding",4,"“life is like"
"“men’s ministry” as","“men’s ministry” as","an",4,"“men’s ministry” as"
"“palestine” in pa","“palestine” in pa","tv",4,"“palestine” in pa"
"“you’ve got to","“you’ve got to","be",4,"“you’ve got to"
"�s and early","�s and early","�s",4,"�s and early"
"’s early view","’s early view","of",4,"’s early view"
"aaa wright express","aaa wright express","and",4,"aaa wright express"
"aain retweet this","aain retweet this","for",4,"aain retweet this"
"abcs good morning","abcs good morning","america",4,"abcs good morning"
"absence of extraneous","absence of extraneous","chemicals",4,"absence of extraneous"
"accompanied by a","accompanied by a","few",4,"accompanied by a"
"accomplishments you make","accomplishments you make","somebody",4,"accomplishments you make"
"accountability for drivers","accountability for drivers","who",4,"accountability for drivers"
"ace in the","ace in the","hole",4,"ace in the"
"achieved so much","achieved so much","in",4,"achieved so much"
"achievement nothing can","achievement nothing can","be",4,"achievement nothing can"
"acip mmwr morb","acip mmwr morb","mortal",4,"acip mmwr morb"
"acknowledge the existence","acknowledge the existence","of",4,"acknowledge the existence"
"acres of grass","acres of grass","and",4,"acres of grass"
"acta said he","acta said he","had",4,"acta said he"
"actress in the","actress in the","world",4,"actress in the"
"acts of the","acts of the","sinful",4,"acts of the"
"addicted to being","addicted to being","awesome",4,"addicted to being"
"additional information about","additional information about","the",4,"additional information about"
"administration to wait","administration to wait","for",4,"administration to wait"
"administrator lisa jackson","administrator lisa jackson","sent",4,"administrator lisa jackson"
"admission is free","admission is free","and",4,"admission is free"
"adoption from the","adoption from the","humane",4,"adoption from the"
"adored and her","adored and her","biggest",4,"adored and her"
"advancement of colored","advancement of colored","people",4,"advancement of colored"
"adverb or an","adverb or an","adjective",4,"adverb or an"
"advisory committee on","advisory committee on","immunization",4,"advisory committee on"
"affairs in consonance","affairs in consonance","with",4,"affairs in consonance"
"affection on things","affection on things","above",4,"affection on things"
"affidavit filed in","affidavit filed in","court",4,"affidavit filed in"
"affirm that samesex","affirm that samesex","couples",4,"affirm that samesex"
"agencies globally when","agencies globally when","trying",4,"agencies globally when"
"agenda for the","agenda for the","last",4,"agenda for the"
"agent in charge","agent in charge","of",4,"agent in charge"
"aid and comfort","aid and comfort","to",4,"aid and comfort"
"airport and when","airport and when","i",4,"airport and when"
"airtight container up","airtight container up","to",4,"airtight container up"
"alert maurice sendak","alert maurice sendak","author",4,"alert maurice sendak"
"alison bell muttering","alison bell muttering","her",4,"alison bell muttering"
"allah and i","allah and i","bear",4,"allah and i"
"allayed the ap","allayed the ap","decided",4,"allayed the ap"
"allen iverson was","allen iverson was","an",4,"allen iverson was"
"allergic to cows","allergic to cows","milk",4,"allergic to cows"
"allies a message","allies a message","of",4,"allies a message"
"alluded to the","alluded to the","former",4,"alluded to the"
"allure quest travel","allure quest travel","experience",4,"allure quest travel"
"alongside a paid","alongside a paid","interview",4,"alongside a paid"
"alot of new","alot of new","faces",4,"alot of new"
"altercations in announcing","altercations in announcing","the",4,"altercations in announcing"
"aluminum foil shinyside","aluminum foil shinyside","down",4,"aluminum foil shinyside"
"amazonca amazoncouk amazonde","amazonca amazoncouk amazonde","amazonfr",4,"amazonca amazoncouk amazonde"
"amazoncom amazonca amazoncouk","amazoncom amazonca amazoncouk","amazonde",4,"amazoncom amazonca amazoncouk"
"amazoncouk amazonde amazonfr","amazoncouk amazonde amazonfr","amazonit",4,"amazoncouk amazonde amazonfr"
"amazonde amazonfr amazonit","amazonde amazonfr amazonit","and",4,"amazonde amazonfr amazonit"
"amazones certain content","amazones certain content","that",4,"amazones certain content"
"amazonfr amazonit and","amazonfr amazonit and","amazones",4,"amazonfr amazonit and"
"amazonit and amazones","amazonit and amazones","certain",4,"amazonit and amazones"
"amid a wave","amid a wave","of",4,"amid a wave"
"analogy explains the","analogy explains the","nec",4,"analogy explains the"
"analysts cool on","analysts cool on","aviva",4,"analysts cool on"
"ancient and the","ancient and the","modern",4,"ancient and the"
"anger of the","anger of the","underclass",4,"anger of the"
"anglers catching white","anglers catching white","bass",4,"anglers catching white"
"animals there is","animals there is","no",4,"animals there is"
"ankiel hit a","ankiel hit a","runscoring",4,"ankiel hit a"
"announcing the penalty","announcing the penalty","in",4,"announcing the penalty"
"anthony davis and","anthony davis and","his",4,"anthony davis and"
"antiquaries of newcastle","antiquaries of newcastle","upon",4,"antiquaries of newcastle"
"antivirus as its","antivirus as its","kernel",4,"antivirus as its"
"anytime of the","anytime of the","year",4,"anytime of the"
"apartheid in south","apartheid in south","africa",4,"apartheid in south"
"apostles answered and","apostles answered and","said",4,"apostles answered and"
"appointed from the","appointed from the","house",4,"appointed from the"
"appropriate that my","appropriate that my","first",4,"appropriate that my"
"arabian fleet might","arabian fleet might","have",4,"arabian fleet might"
"army corps of","army corps of","engineers",4,"army corps of"
"arnold brewing company","arnold brewing company","wwwsaintarnoldcom",4,"arnold brewing company"
"arrests have been","arrests have been","made",4,"arrests have been"
"arriving at the","arriving at the","hospital",4,"arriving at the"
"articles i’ve written","articles i’ve written","or",4,"articles i’ve written"
"ashley pucella and","ashley pucella and","henderson",4,"ashley pucella and"
"assault and sentenced","assault and sentenced","to",4,"assault and sentenced"
"assets owned by","assets owned by","treasury",4,"assets owned by"
"associates programmes designed","associates programmes designed","to",4,"associates programmes designed"
"association for the","association for the","advancement",4,"association for the"
"assumed that it","assumed that it","was",4,"assumed that it"
"atlarge delegates and","atlarge delegates and","atlarge",4,"atlarge delegates and"
"atmosphere that is","atmosphere that is","conducive",4,"atmosphere that is"
"attended the university","attended the university","of",4,"attended the university"
"attorneys office declined","attorneys office declined","to",4,"attorneys office declined"
"attractions of the","attractions of the","gaston",4,"attractions of the"
"atty edwin lacierda","atty edwin lacierda","vs",4,"atty edwin lacierda"
"audience how do","audience how do","you",4,"audience how do"
"auditor clerk of","auditor clerk of","courts",4,"auditor clerk of"
"aunts and uncles","aunts and uncles","and",4,"aunts and uncles"
"austin i love","austin i love","you",4,"austin i love"
"automatically get this","automatically get this","tutorial",4,"automatically get this"
"avery brewing company","avery brewing company","avery",4,"avery brewing company"
"aviva us sale","aviva us sale","suggestions",4,"aviva us sale"
"awarded top honors","awarded top honors","in",4,"awarded top honors"
"bachelors degree in","bachelors degree in","business",4,"bachelors degree in"
"background looks like","background looks like","a",4,"background looks like"
"backseat of a","backseat of a","car",4,"backseat of a"
"bailout coming but","bailout coming but","its",4,"bailout coming but"
"balanced and healthful","balanced and healthful","ecology",4,"balanced and healthful"
"balsamic vinegar and","balsamic vinegar and","sugar",4,"balsamic vinegar and"
"baltimorewashington international thurgood","baltimorewashington international thurgood","marshall",4,"baltimorewashington international thurgood"
